state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
North Carolina,4726.0,675.8333333333334,4045.0,0.0,0.0,0.16666666666666666,0.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.0,5.5,16.6,1.5,0.9333333333333332,61.666666666666664,61.666666666666664,101.2,53.5,49.5,41.833333333333336,64.16666666666667,97.6,55.833333333333336
Ohio,1235.4,267.0,971.2,0.0,0.0,0.0,0.0,0.8,3.8,2.0,3.4,10.0,13.2,2.4,0.3,84.2,84.2,97.8,56.0,61.6,42.2,45.4,95.0,84.2
Oregon,6742.4,1694.0,5144.4,0.0,0.0,0.1,1.9,0.3,1.1,1.6,1.5,6.5,42.3,3.6666666666666665,1.72,1177.4,36.333333333333336,118.0,63.1,334.0,58.857142857142854,59.857142857142854,138.9,187.83333333333334
Pennsylvania,1821.1052631578948,699.6842105263158,1122.6315789473683,0.0,0.0,0.15789473684210525,0.2631578947368421,1.2105263157894737,1.263157894736842,2.3157894736842106,2.6842105263157894,7.894736842105263,21.57894736842105,2.611111111111111,0.9388888888888888,104.88888888888889,101.27777777777777,93.6,51.10526315789474,54.44444444444444,52.705882352941174,63.6875,95.88888888888889,89.88235294117646
Rhode Island,315.0,245.0,70.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,4.0,13.0,1.0,0.2,30.0,30.0,100.0,54.0,40.0,,,100.0,30.0
South Dakota,6975.0,1020.0,5970.0,0.0,0.0,0.0,1.5,0.0,1.0,0.5,1.5,4.5,46.5,1.5,1.4,475.0,137.5,91.5,58.0,175.0,51.5,51.5,100.5,
Tennessee,3300.0,600.0,2700.0,0.0,,0.0,0.0,2.0,0.0,1.0,1.0,4.0,10.0,1.0,1.0,,,83.0,44.0,35.0,36.0,65.0,94.0,
Utah,9709.076923076924,2261.3076923076924,7479.307692307692,0.6923076923076923,0.0,0.5384615384615384,3.3076923076923075,1.0769230769230769,2.230769230769231,1.6153846153846154,1.6923076923076923,11.153846153846153,105.92307692307692,2.6,1.8923076923076925,2346.769230769231,326.3333333333333,140.36363636363637,56.92307692307692,406.15384615384613,89.08333333333333,93.0,137.0,160.5
Vermont,3500.0666666666666,1991.9333333333334,1503.3333333333333,0.4666666666666667,0.0,0.4666666666666667,1.6,1.8666666666666667,1.4666666666666666,2.1333333333333333,2.6666666666666665,10.666666666666666,79.86666666666666,4.166666666666667,2.7333333333333334,482.6,278.6,136.69230769230768,67.73333333333333,225.46666666666667,83.5,87.9,135.76923076923077,50.0
Virginia,2847.5,828.25,2003.0,0.0,,0.5,0.0,1.25,0.5,0.75,2.25,5.25,14.5,2.0,0.8,67.25,81.0,91.5,51.0,37.25,51.0,68.0,103.25,45.0
Washington,5784.5,1898.1,3968.8,0.1,0.0,0.2,1.2,1.4,1.4,3.3,1.7,9.3,54.77777777777778,2.625,1.41,1533.0,27.75,113.55555555555556,62.8,396.6,65.10714285714286,70.14428571428572,131.33333333333334,285.2857142857143
West Virginia,4248.25,988.25,3260.75,0.0,,0.0,0.75,1.25,3.25,0.75,1.75,7.75,43.5,2.25,1.475,135.5,130.5,114.0,41.75,147.5,62.5,79.75,116.5,62.333333333333336
Wisconsin,1273.375,351.1875,926.75,0.0,0.0,0.0625,0.4375,0.75,1.0,1.9375,3.25,7.4375,26.5,2.8666666666666667,0.6375,112.5,101.625,101.26666666666667,57.4,61.46666666666667,46.42857142857143,54.266666666666666,108.0,79.64285714285714
Wyoming,9033.625,1565.0,7514.5,0.375,0.0,0.0,0.75,0.875,0.875,1.125,0.75,4.75,50.625,2.0,1.55,815.375,105.0,119.33333333333333,59.375,292.7142857142857,57.6,56.166666666666664,116.0,110.0
